500 2500
345 151 937
217 125 678
271 287 1513
14 445 1260
133 170 2
418 159 169
257 42 651
387 358 1628
452 70 555
275 165 241
247 9 2244
35 77 2220
65 347 358
429 212 1302
188 196 2472
41 113 630
61 369 671
211 107 2380
338 58 1302
244 333 1466
337 431 974
80 465 2402
151 29 1248
8 457 2312
161 496 1007
132 388 620
261 448 840
283 11 1947
15 348 856
316 444 2188
281 280 970
106 211 435
7 361 315
106 220 2124
417 380 971
424 12 711
395 124 158
86 259 168
384 273 2368
240 440 2311
279 220 1590
249 177 152
35 35 1364
349 140 583
324 409 1814
147 184 1177
357 78 1801
14 15 911
34 399 2035
253 138 1474
63 416 2045
4 164 2221
155 198 2107
18 399 1598
452 74 506
265 220 1189
442 76 618
94 442 2133
356 327 1531
390 79 1020
363 141 1435
407 496 1451
479 2 1500
85 19 1898
182 322 1324
40 86 543
80 379 471
50 324 2412
34 179 590
64 420 2168
435 282 2160
369 40 2155
171 370 1156
171 306 526
420 340 847
243 379 284
138 310 15
108 359 1838
371 392 1869
460 307 788
479 241 1422
138 462 1961
292 484 1183
299 154 988
324 426 1827
22 168 557
157 157 867
171 264 1077
361 486 1969
81 297 1627
368 275 868
141 412 181
454 203 2164
136 353 2170
475 176 2095
302 49 2114
210 206 1623
428 228 886
5 440 224
325 20 20
451 240 1295
170 232 58
350 185 2113
366 320 2465
35 295 493
481 448 2041
446 9 98
68 437 2178
306 441 1469
29 265 2341
400 215 1932
46 385 1663
104 86 2348
216 451 1519
180 337 165
24 169 1464
65 115 973
14 182 909
43 339 1201
12 367 1317
352 267 1531
283 312 1767
445 267 2205
144 482 7
163 14 1196
327 37 364
291 453 2330
115 319 2364
23 361 202
75 224 1069
391 75 187
273 209 1350
392 6 2117
96 149 950
454 163 315
149 342 704
365 484 1656
194 98 2326
409 472 1039
111 46 1762
31 288 689
69 60 2249
418 451 1754
386 398 1755
188 204 1269
2 204 1610
205 68 593
213 114 542
390 374 1013
428 484 910
190 366 197
230 434 1757
478 204 59
84 441 2309
338 128 1012
106 482 1215
68 38 2135
12 250 1100
54 492 473
66 419 1809
476 460 1174
24 189 108
280 19 163
191 102 2103
499 291 2083
362 248 1564
76 315 101
62 179 703
13 232 694
486 149 1112
146 476 1424
319 500 964
278 131 1982
440 321 1435
395 171 1077
477 32 825
40 460 2491
492 21 1669
194 34 252
387 371 401
351 16 1876
126 186 2375
89 316 1358
423 107 1178
357 1 701
434 477 732
110 368 191
100 360 64
121 53 1449
372 292 1171
272 494 1038
500 119 2223
374 59 38
83 481 2145
261 190 1997
461 123 1474
44 84 2341
87 35 1052
150 155 605
450 379 748
120 2 1241
157 1 1211
379 227 269
269 309 1750
265 421 939
261 233 1413
86 277 1496
279 363 1382
330 364 37
286 313 1767
385 432 1768
125 88 2121
187 318 1347
456 438 1007
57 202 928
495 315 660
259 252 2288
106 30 2150
487 212 513
23 349 177
141 234 2108
409 358 1195
29 397 2365
227 352 1802
233 408 1856
160 254 2022
172 12 1273
459 117 2155
461 455 1866
325 330 1214
2 470 947
109 378 1157
156 258 1905
372 484 756
173 69 1015
380 228 2268
401 251 1131
26 210 1599
180 170 53
397 346 382
462 347 704
409 308 1433
417 463 2191
321 334 2026
428 358 594
294 238 174
61 490 1424
43 15 1633
493 194 654
397 90 1500
131 52 698
334 312 1505
266 80 1467
308 252 652
334 31 862
279 324 99
452 236 588
376 278 2455
360 122 148
366 18 2090
217 148 1993
414 481 2156
419 99 87
237 406 1338
241 91 1868
102 370 1543
200 321 1278
139 48 2407
93 260 1528
93 125 1397
34 341 1045
378 254 1377
33 24 2475
